,precision,recall,f1-score,support
Checking or savings account,0.7100591715976331,0.75,0.729483282674772,160.0
Credit card,0.8767123287671232,0.8205128205128205,0.847682119205298,156.0
"Money transfer, virtual currency, or money service",0.7261904761904762,0.7625,0.7439024390243902,160.0
Mortgage,0.9,0.95625,0.9272727272727272,160.0
Student loan,0.9797297297297297,0.90625,0.9415584415584416,160.0
Vehicle loan or lease,0.8636363636363636,0.8364779874213837,0.8498402555910544,159.0
accuracy,0.8387434554973822,0.8387434554973822,0.8387434554973822,0.8387434554973822
macro avg,0.8427213449868876,0.8386651346557006,0.8399565442211139,955.0
weighted avg,0.8425570738311072,0.8387434554973822,0.8399138363558714,955.0
