complaint_id,product,sub_product,issue,sub_issue,company,state,date_received,company_response,timely,complaint_what_happened
9995808,Credit card,Store credit card,Fees or interest,Problem with fees,"Bread Financial Holdings, Inc.",NC,2024-08-30T13:06:02.000Z,Closed with explanation,Yes,"Good morning, Dispute : date of interest charge was on XX/XX/XXXX Original purchase date XX/XX/XXXX Comenity Bank Amount : XXXX The dispute is simple : the minimum payment that was applied to my account did not cover the remaining {$66.00} on the end date of XX/XX/XXXX. The account should have been closed XXXX XXXX XXXX. My understanding was this account was already full filled and had been paid. If the minimum payments had not been adjusted, this account would have been paid in full on the appropriate date.

The original transaction was XX/XX/XXXX. My understanding is that this account should have been reconciled and closed 18 months later. However, your department changed the dates to an arbitrary date of XX/XX/XXXX. My understanding was that the plan was up 18 months after the purchase date. Now, 30 months later, the plan ends, leaving me with XXXX in interest. Please also review previous documents of the zero-interest start date, not beginning when item was purchased. This account should been closed out, however, 30 month later, I am not receiving a XXXX interest charge. The remaining balance of XXXX has already been paid. 

If you purchased a loan for 60 months for an item. That product should be paid off at that 60 month mark. If you then receive, another bill 12 months later on something that had already ended. How would you know this had a different end date /remaining balance then what you originally signed the loan for? 

Working with this company has been an ongoing issue. I would like this resolved. Thank you for your time."
9995789,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,JPMORGAN CHASE & CO.,CA,2024-09-02T08:33:16.000Z,Closed with explanation,Yes,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely. 

JPMCB CARD XXXX"
9995748,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,DISCOVER BANK,NY,2024-09-02T07:58:09.000Z,Closed with non-monetary relief,Yes,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely. 

DISCOVER BANK XXXX"
9995561,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"CITIBANK, N.A.",MA,2024-09-02T03:37:14.000Z,Closed with non-monetary relief,Yes,"This is the CFPB complaint # XXXX or # XXXX regarding the CITI illegal and abusive actions with respect to my CITI THANKYOU card XXXX, This also is my request of the CFPB thorough investigation of the CITI illegal and abusive practices and my plea to protect me, a senior citizen, from the CITI unfair and abusive practices. 

XXXX. ADVERSE ACTION FOR NO REASON, WITH NO CAUSE, AND WITHOUT A LEGALLY REQUIRED XXXX  DAYS WARNING, In XXXX, XXXX, Citi took an adverse action without giving me any legally required XXXX  day warning and for absolutely no cause and with XXXX and only purpose - to ruin my business and to take advantage of a XXXX XXXX, because the thought they could,. 

They did it immediately upon receipt of my {$480.00}, higher than a MIN required payment, And they did it under the name of "" Update ''. as per the attached Citi letter informing me of their truly evil and malicious action that ruined my business deal AND my credit rating. 

For no reason and without any cause - no missed or late payments, they reduced my credit limit by {$4000.00} and deprived me of all access to cash. 
Because it was intentionally mislabelled "" UPDATE '', I did not even notice it until my May statement. 

Their irresponsible, unintelligent, and downright abusive actions created lots of problems for me and my business transactions, planned to pay off my credit card debt, It intentionally ruined my very good credit rating for no reason at all. AND WITH WHAT PURPOSE? 

To extinguish my ability to borrow from any and all creditors? And to make this card totally unusable by removing my cash access?? WHO NEEDS A CREDIT CARD WITH WHICH ONE CAN DO NOTHING, BUT PAY THEM {$450.00} EACH MONTHS ON A BALANCE THAT INCLUDES UNAUTHORIZED CHARGES THEY REFUSE TO REMOVE?? 

In their recent reply to my CFPB complaint # XXXX or XXXX about this matter, ( please see attached ) Citi wrote that their truly XXXX  decision was irreversible and that they can do nothing about their failure to abide by their own terms of agreement, and a lot of other incoherent nonsense, and offered me to apply for another credit card. 

IS IT SO? If this is not an intentional customer abuse and pushing me into bankruptcy, I do not know what is, Of course, in the greedy banks "" wisdom '' they can easily take every advantage of a senior individual with their "" great strategies '' of cheating and stealing And, of course, having put me into the black hole, they can not reduce the XXXX  % interest rate, because, so they write, it is a fair one. 
LAUGHING OUT LOUD, They must immediately return this card to the terms we had agreed on, Then, if they have any legally valid reason, they must provide a XXXX day notice for any adverse action they may wish to take, Alternatively, they can completely pay off and close this account. 

XXXX. ACCEPTANCE OF THE UNAUTHORIZED CHARGES AS A MATTER OF PRACTICE IN ALL MY ACCOUNTS ( see evidence in my previous complaints ), As per the previous XXXX CFPB complaints and the infinite messages and letters to the CITI Executive Office XXXX XXXX XXXX WAS SPECIFICALLY AND REPEATEDLY INSTRUCTED TO REMOVE THIS CARD FROM THEIR SYSTEM AND NOT TO CHARGE ANYTHING TO IT. ( It has been explained again and again that XXXX, an Ecuadorian company acts in accordance with their own business practices, which include keeping in the system any and all financial information that gets into their hands, and not removing it despite any requests and demands, This is how, they say, they prevent fraud, ) Yet, XXXX illegally charged to the card, whose data they had effectively stolen, And CITI, who have been provided again and again, with evidence of my instructing XXXX  to charge to a different credit card, insists that, yes, they will process whatever fraudulent charge and then demand evidence that the charge was fraudulent, And then, not pay any attention to any and all evidence and side with the fraudsters, demanding that their customers pay for fraud and for the CITI incompetence and legal and financial illiteracy, My disputes were filed XX/XX/XXXX, CITI has been bombarding with the message from bots, who did not even see XXXX different disputes as such, but as XXXX dispute, Took around XXXX hours to straighten that part our, then their began bombarding me with demands of evidence, WHAT EVIDENCE? THE CHARGES HAD NOT BEEN AUTHORIZED AND MUST HAVE BEEN REMOVED, But not CITI, Since all this has been described in the XXXX previous CFPB complaints, and millions of letters sent directly to the CITI Executive Office, it all is on the record for the CFPB investigations and, hopefully, putting an end to the CITI illegal practices, Suffice it here to say that in the Citi reply of XX/XX/XXXX to my preceding CFPB complaint ( see attached ), CITI tells that the disputes are still under their "" investigation ''. AND, the very same day, they write to me their letters, telling me that the disputes have been "" resolved '' to the satisfaction of the fraudulent XXXX who had billed the card, whose data they had stolen and which they had been repeatedly instructed not to use. Please see those letters also attached. THIS IS HOW CITI OPERATES - LIES AND MORE LIES, DECEPTION AND MORE DECEPTION. EMPLOYING AN XXXX OF XXXX  ROBOTS BEFORE FINALLY PASSING ANY MATTER TO AN XXXX OF ILLITERATE AND INCOMPETENT EMPLOYEES, No consumer can be held responsible for the fraudulent. unauthorized charges, Doing so is fraud and theft, and breaking of the legal agreement, THE CHARGES IN QUESTION HAVE BEEN : XX/XX/XXXX {$36.00} ; XX/XX/XXXX XXXX ; XX/XX/XXXX XXXX ; XX/XX/XXXX XXXX. THEY MUST BE IMMEDIATELY REFUNDED,. 
XXXX. THE CITI PRACTICE OF DEMANDING THE AMOUNTS IN DISPUTE AS MIN PAYMENTS MUST BE ALSO INVESTIGATED, XXXXHAVING MADE THE CARD TOTALLY UNUSABLE TO ME, THEY HAVE NO RIGHT TO DEMAND FROM ME THEIR XXXX  % INTEREST PAYMENT, They broke our agreement, they must be financially responsible. 

XXXX. CITI MUST STOP THEIR ILLEGAL INTENTIONALLY MISLEADING OFFERS OF LONG TERM LOANS, Each of my credit cards has those offers plastered in MIN XXXX places. But they do not give any information about interest rates, etc, They ask you to begin the application without any data about the loans, Then, even though I never finished XXXX application, because they would not give the interest rate, nor amounts, they sent me a letter that they could not give me a loan, WELL, I HAVE NOT APPLIED FOR XXXX, frauds and thieves, XXXX. CITI must provide SMS/Text access as a proof identity, instead of insisting on phone calls that being in XXXX, XXXX can not either receive or make. THEY MUST, PROVIDE THE PROMISED SERVICE TO CONSUMERS, a very expensive service at that. 
MY FEEDBACK"
9995380,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Problem with rewards from credit card,JPMORGAN CHASE & CO.,VA,2024-09-02T03:43:43.000Z,Closed with explanation,Yes,"I had to pay out of pocket for a benefit that was supposed to be included in my credit card. I call the customer service and they said there were changes. However, I never received any notification about changes to these perks, as you can see from the attached Letters and notice for XXXX. A bank agent mentioned that this change was communicated through an account statement, but this is misleading since account statements are meant for financial details and payment deadlines, not to hide changes to card benefits in fine print. I am requesting a refund in credit card or compensation for the same amount."
9995006,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,2024-09-02T07:26:41.000Z,Closed with explanation,Yes,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely. 

BANK OF AMERICA XXXX"
9995001,Credit card,General-purpose credit card or charge card,Trouble using your card,Credit card company won't increase or decrease your credit limit,TRUIST FINANCIAL CORPORATION,TN,2024-09-02T08:36:39.000Z,Closed with explanation,Yes,"I am writing to dispute a decrease in my credit limit, which I believe was inaccurately implemented due to a letter sent out regrading the mistake as a result of a company merger from BB & T. This matter has come to my attention through a notification from your company, and I would like to clarify the circumstances surrounding this decision. 

I have been a loyal customer of your company for several years, and I have always maintained a good standing with my credit account. However, I recently received a notification that my credit limit has been decreased, which has had a negative impact on my credit utilization ratio and overall credit score. 

Upon further investigation, I discovered that the decrease in my credit limit was a result of a letter sent out mistakenly due to a company merger. This information was inaccurate and has unfairly affected my credit standing without any valid reason or basis. As a consumer, I have the right to accurate and transparent information regarding changes to my credit account, and I believe that this decrease was not justified. 

I kindly request that you review the circumstances surrounding the inaccurate decrease in my credit limit and take the necessary steps to restore my original credit limit to the XXXX limit. I understand that company mergers can result in operational changes, but it is essential that these changes do not unfairly impact loyal customers like myself. 

I expect a written response outlining the actions you will take to address this dispute and restore my credit limit back to its original status within 30 days. Failure to do so may result in further escalation of this matter to the appropriate regulatory authorities. 

Thank you for your prompt attention to this matter. I look forward to a swift resolution and the restoration of my credit limit. 

Sincerely, XXXX XXXX"
9994966,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,CAPITAL ONE FINANCIAL CORPORATION,OH,2024-09-02T04:29:31.000Z,Closed with non-monetary relief,Yes,"I must bring to your attention that following my attempt to tender payment on the account in question, Capital One unilaterally closed my account without any prior notice or warning. I question how access to my own credit under the open-ended consumer credit plan, as defined in 15 U.S.C. 1602 ( g ), can be denied in such a manner. Moreover, Capital One has unjustly reported information to all three consumer reporting agencies without obtaining my written permissible purpose, in direct violation of the Fair Credit Reporting Act. 

Even if Capital One asserts that the terms and conditions permit such actions, I maintain that these terms are inherently fraudulent and deceptive due to the lack of proper disclosures that I never received under the Truth in Lending Act ( 15 U.S.C. 1605 ). Capital One has also failed to meet the requirements outlined in 15 U.S.C. 6801 and 6802, which protect my right to opt-out of having my information shared or reported to any third party. 

By engaging in these practices, Capital One N.A. has not only harmed me as a consumer but has also failed to respond to the correspondence I previously sent. This has subjected me to what can only be described as wage and debt slavery, as the bank has deceptively and intentionally misappropriated the meanings of critical terms such as "" payment, '' "" promise to pay, '' and "" pay, '' as defined in Black 's Law Dictionary, 4th Edition. According to this legal authority, "" payment '' simply refers to the fulfillment of an obligation. 

In our modern financial system, a "" promise to pay '' has come to mean that collateral securities are created each time credits on the account are used, and these negotiable instruments are endorsed and utilized by banks and other financial institutions to access the Federal Reserves discount window. This process effectively tricks the consumer into believing that a debt exists, despite the absence of any actual gold, silver, or other materials of value as required by Article 1, Section 10 of the United States Constitution. 

Given that Federal Reserve notes are themselves debt instruments, I must ask Capital One : if a debt is allegedly owed, why demand payment with another form of debt? Legally, a debt can only be "" paid '' with money, not with another debt instrument. I am prepared to submit endorsed negotiable instruments as lawful tender of payment, in accordance with XXXX Article XXXX. These instruments will be stamped, signed, and endorsed to fulfill any supposed obligation attributed to XXXX XXXX XXXX, thus balancing Capital Ones public ledger. 

It is Capital Ones responsibility, as the holder in due course, to apply the endorsed instrument as payment, earn interest from the collateral securities generated by my use of the card, and, if desired, redeem the instrument for Federal Reserve notes. This arrangement should ensure that I, as the beneficiary in this relationship, continue to have access to the card and benefit from higher credit lines and limits."
9994775,Credit card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,UNITED SERVICES AUTOMOBILE ASSOCIATION,MD,2024-08-31T19:19:15.000Z,Closed with explanation,Yes,"XXXX XX/XX/XXXX : I contacted USAA to dispute their practice of burying a higher interest rate balance beneath a lower interest rate balance on my credit card in violation of the Credit Card Act of XXXX. USAA claims that because the balance was a cash advance, that they are not beholden to the rule of allowing consumers to pay off higher interest rate balances. USAA also opened a complaint for me XXXX."
9994744,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,2024-09-02T13:51:13.000Z,Closed with explanation,Yes,"two months ago I open two Bank of America credit cards by mistake. I open one extra one. The idea was just to open one as soon as I figure it out then I called Bank of America and the agent told me in a recorder line that she was 100 % sure that closing one of the credit cards whiting 30 days of opening will not damage my credit score, now I find out that it went down XXXX points on my credit score"
9994065,Credit card,General-purpose credit card or charge card,Closing your account,Can't close your account,"Avant Holding Company, Inc.",FL,2024-09-02T15:10:09.000Z,Closed with explanation,Yes,"XX/XX/XXXX someone called my credit card company changed all of my information to theirs, therefore I get a notification from the credit card company that I have updated all of my information, I then attempt to log into my account and see what's going on and I am now locked out. I called the credit card company tell them what's going on that someone has changed my information and is now trying to pay the bill through my debit card which is linked to that credit card for payments and they are slowly wiping my bank account out after asking for a larger credit limit, they then asked me to verify the address that's on file and since I can not because it has been stolen and changed therefore they will not allow me to close my account they keep telling me to email a copy of my driver 's license so I can verify who I am I email requested document 27 times just for them to tell me that they don't have it. I have done nothing but fight this situation trying to prove who I am and it is like there's no common sense with the credit card company that the account had been in Florida since the creation of it and then all the sudden within hours I'm in Tennessee it makes no sense, I told them multiple times someone had changed my information and is now using my card I spoke with seven different reps and ended up in tears at the end of each conversation because no one would help me, to this day I have no idea if they closed my account or if someone else is continuously spending on it. I then just had to get in touch with my bank and had them block this merchant from any future attempts from my debit account, this is been one of the biggest nightmares in my life"
9993893,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"CITIBANK, N.A.",MI,2024-09-02T15:09:40.000Z,Closed with monetary relief,Yes,"About a year ago, XXXX Citi card gave me a promotional offer to increase my points. I didn't realize that by agreeing to the offer, I was enrolled in a paperless statement system. 
I didn't see the statements in my email box so I called the company to request that they resume sending paper statements. Instead, they mailed me old copies of previous months statements. They did NOT restart sending paper statements. 

I put this card away because the communication with them was TERRIBLE. ( Hold/wait times, talking to people in XXXX with very bad connections and only marginal skills in XXXX. ) I finally gave up. I called and paid whatever the balance was that they said that I owed. ON THE SAME DAY, I closed this account. 

Most recently, they started sending more "" past due balance '' emails BUT NO STATEMENT. I called once again to tell them that I had paid the bill in full and closed the account. AGAIN, I spent XXXX minutes on the phone with XXXX people. They had to transfer me XXXX times to a "" supervisor. '' Multiple times I tried to explain the reason that I did not feel that I owed them anything else and that I wasn't going to pay any "" late fees '' that were assessed AFTER I had closed the account. Multiple times I told the agent that I could barely hear him because of the terrible connection. The combination of bad XXXX and terrible connection left me completely frustrated. I told him VERY clearly that I would not pay this balance and that I wanted to appeal their charges. He could not ( or would not ) try to understand my explanation."
9993811,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,SYNCHRONY FINANCIAL,AZ,2024-09-02T15:16:12.000Z,Closed with monetary relief,Yes,"Synchrony bank attempted to charge {$2.00} interest on a {$4.00} balance ( in which they refunded me the {$4.00} because it was interest on a balance that was charged as a result of their failure to provide legal service of a prior monthly bill ). This card was paid off complete over 2 months ago when their billing issue began and was immediately put in the "" do not use '' pile. 1 month ago the account was closed when they sent me the {$4.00} bill. And now they have refunded the {$4.00} and I get a follow up bill for {$2.00}, likely because of "" minimum interest on the {$4.00} that they refunded. 

I've already submitted the {$2.00} payment to Synchrony and expect no further billing, only refunds."
9993704,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,GOLDMAN SACHS BANK USA,TX,2024-09-02T15:33:25.000Z,Closed with monetary relief,Yes,"30 plus charges keep showing up on my credit card statement. I've disputed 5 times now. I'm in a loop where they keep coming back but no proof that they are my legit charges. Customer service is very poor and employees only read scripts of what they can do .... start another dispute. I've asked for someone in upper management, but they can not give me anyone else to help. I've given them information about the company that anyone can look up about utrtin.com. XXXX them and only the website comes up ( but it's down today ) ... type in "" XXXX XXXX  '' and you see a couple pages saying it's not high on their "" trust '' meter as a trustable website ( the 2nd website is in another language ). There is no other website that you can type in google and not get XXXX results."
9993248,Credit card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,SYNCHRONY FINANCIAL,MN,2024-09-02T17:21:22.000Z,Closed with explanation,Yes,"I paid off my card in full on the XXXX due date. 

On the XXXX due date, there was a trailing interest balance of {$44.00}, due XXXX. I paid it on XXXX. This would have resulted in a balance of XXXX -- there is no trailing interest charge on the trailing interest. 

I was then charged -- without it being entered on a statement -- a {$0.00} charge for trailing interest on the trailing interest. When I contacted the creditor, they said the only way they would waive it would be as as a one-time courtesy credit basis. I will not use up my one-time courtesy credit on something that is not allowable or legal. 

I demand that the {$040.00} of interest on the final interest be waived and that it not be a courtesy credit."
9993187,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"Bread Financial Holdings, Inc.",NY,2024-09-02T17:19:10.000Z,Closed with explanation,Yes,"I scheduled a {$75.00} payment on XXXX XXXXXX/XX/XXXX, to post on XXXX XXXXXX/XX/XXXX ( XXXX XXXX ). I selected the desired bank that I wanted the payment taken out from, and finalized the transaction. 
Unfortunately, XXXX XXXX XXXX prehistoric system glitched, not for the first time, and selected the other bank attached to my account to remove the payment from. I called in the afternoon of XXXX XXXX to rectify this issue, but the payment is already processed - unlikely for a system that, to be generous, is not state-of-the-art. I was also told that I will inevitably be hit with a returned check fee, and that I have to go through the rigamarole of an 'investigation ' to have the fee ( possibly! ) returned. This is sickening and disgraceful."
